LATITUDE;LONGITUDE;ANNUAL
-33,70;-53,55;4772
-33,70;-53,45;4776
-33,70;-53,35;4779
-33,70;-53,25;4788
-33,60;-53,55;4773
-33,60;-53,45;4766
-33,60;-53,35;4763
-33,60;-53,25;4756
-33,60;-53,15;4733
-33,50;-53,55;4804
-33,50;-53,45;4789
-33,50;-53,35;4745
-33,50;-53,25;4754
-33,50;-53,15;4753
-33,50;-53,05;4727
-33,50;-52,95;4780
-33,40;-53,55;4814
-33,40;-53,45;4791
-33,40;-53,35;4740
-33,40;-53,25;4734
-33,40;-53,15;4732
-33,40;-53,05;4732
-33,40;-52,95;4683
-33,40;-52,85;4705
-33,30;-53,55;4827
-33,30;-53,45;4787
-33,30;-53,35;4745
-33,30;-53,25;4708
-33,30;-53,15;4701
-33,30;-53,05;4735
-33,30;-52,95;4743
-33,30;-52,85;4679
-33,30;-52,75;4679
-33,20;-53,55;4848
-33,20;-53,45;4814
-33,20;-53,35;4761
-33,20;-53,25;4715
-33,20;-53,15;4702
-33,20;-53,05;4724
-33,20;-52,95;4732
-33,20;-52,85;4745
-33,20;-52,75;4659
-33,20;-52,65;4688
-33,10;-53,55;4833
-33,10;-53,45;4843
-33,10;-53,35;4816
-33,10;-53,25;4753
-33,10;-53,15;4707
-33,10;-53,05;4713
-33,10;-52,95;4709
-33,10;-52,85;4733
-33,10;-52,75;4732
-33,10;-52,65;4696
-33,10;-52,55;4756
-33,00;-53,45;4815
-33,00;-53,35;4843
-33,00;-53,25;4794
-33,00;-53,15;4723
-33,00;-53,05;4714
-33,00;-52,95;4706
-33,00;-52,85;4732
-33,00;-52,75;4734
-33,00;-52,65;4720
-33,00;-52,55;4712
-32,90;-53,35;4781
-32,90;-53,25;4818
-32,90;-53,15;4771
-32,90;-53,05;4743
-32,90;-52,95;4758
-32,90;-52,85;4791
-32,90;-52,75;4763
-32,90;-52,65;4717
-32,90;-52,55;4715
-32,90;-52,45;4774
-32,80;-53,15;4817
-32,80;-53,05;4803
-32,80;-52,95;4829
-32,80;-52,85;4841
-32,80;-52,75;4802
-32,80;-52,65;4712
-32,80;-52,55;4699
-32,80;-52,45;4731
-32,70;-53,15;4792
-32,70;-53,05;4823
-32,70;-52,95;4849
-32,70;-52,85;4850
-32,70;-52,75;4838
-32,70;-52,65;4750
-32,70;-52,55;4701
-32,70;-52,45;4698
-32,60;-53,45;4718
-32,60;-53,35;4715
-32,60;-53,25;4703
-32,60;-53,15;4722
-32,60;-53,05;4760
-32,60;-52,95;4819
-32,60;-52,85;4838
-32,60;-52,75;4834
-32,60;-52,65;4767
-32,60;-52,55;4687
-32,60;-52,45;4693
-32,60;-52,35;4747
-32,50;-53,55;4722
-32,50;-53,45;4711
-32,50;-53,35;4707
-32,50;-53,25;4688
-32,50;-53,15;4695
-32,50;-53,05;4717
-32,50;-52,95;4760
-32,50;-52,85;4793
-32,50;-52,75;4815
-32,50;-52,65;4769
-32,50;-52,55;4689
-32,50;-52,45;4703
-32,50;-52,35;4728
-32,40;-53,65;4726
-32,40;-53,55;4719
-32,40;-53,45;4715
-32,40;-53,35;4701
-32,40;-53,25;4684
-32,40;-53,15;4676
-32,40;-53,05;4680
-32,40;-52,95;4706
-32,40;-52,85;4728
-32,40;-52,75;4750
-32,40;-52,65;4718
-32,40;-52,55;4684
-32,40;-52,45;4689
-32,40;-52,35;4699
-32,30;-53,65;4725
-32,30;-53,55;4715
-32,30;-53,45;4693
-32,30;-53,35;4679
-32,30;-53,25;4648
-32,30;-53,15;4648
-32,30;-53,05;4657
-32,30;-52,95;4670
-32,30;-52,85;4697
-32,30;-52,75;4731
-32,30;-52,65;4689
-32,30;-52,55;4664
-32,30;-52,45;4658
-32,30;-52,35;4681
-32,30;-52,25;4706
-32,20;-53,75;4759
-32,20;-53,65;4733
-32,20;-53,55;4703
-32,20;-53,45;4682
-32,20;-53,35;4662
-32,20;-53,25;4629
-32,20;-53,15;4616
-32,20;-53,05;4621
-32,20;-52,95;4642
-32,20;-52,85;4667
-32,20;-52,75;4690
