LATITUDE;LONGITUDE;ANNUAL
-33,7005;-53,549;4772
-33,7005;-53,449;4776
-33,7005;-53,349;4779
-33,7005;-53,249;4788
-33,6005;-53,549;4773
-33,6005;-53,449;4766
-33,6005;-53,349;4763
-33,6005;-53,249;4756
-33,6005;-53,149;4733
-33,5005;-53,549;4804
-33,5005;-53,449;4789
-33,5005;-53,349;4745
-33,5005;-53,249;4754
-33,5005;-53,149;4753
-33,5005;-53,049;4727
-33,5005;-52,949;4780
-33,4005;-53,549;4814
-33,4005;-53,449;4791
-33,4005;-53,349;4740
-33,4005;-53,249;4734
-33,4005;-53,149;4732
-33,4005;-53,049;4732
-33,4005;-52,949;4683
-33,4005;-52,849;4705
-33,3005;-53,549;4827
-33,3005;-53,449;4787
-33,3005;-53,349;4745
-33,3005;-53,249;4708
-33,3005;-53,149;4701
-33,3005;-53,049;4735
-33,3005;-52,949;4743
-33,3005;-52,849;4679
-33,3005;-52,749;4679
-33,2005;-53,549;4848
-33,2005;-53,449;4814
-33,2005;-53,349;4761
-33,2005;-53,249;4715
-33,2005;-53,149;4702
-33,2005;-53,049;4724
-33,2005;-52,949;4732
-33,2005;-52,849;4745
-33,2005;-52,749;4659
-33,2005;-52,649;4688
-33,1005;-53,549;4833
-33,1005;-53,449;4843
-33,1005;-53,349;4816
-33,1005;-53,249;4753
-33,1005;-53,149;4707
-33,1005;-53,049;4713
-33,1005;-52,949;4709
-33,1005;-52,849;4733
-33,1005;-52,749;4732
-33,1005;-52,649;4696
-33,1005;-52,549;4756
-33,0005;-53,449;4815
-33,0005;-53,349;4843
-33,0005;-53,249;4794
-33,0005;-53,149;4723
-33,0005;-53,049;4714
-33,0005;-52,949;4706
-33,0005;-52,849;4732
-33,0005;-52,749;4734
-33,0005;-52,649;4720
-33,0005;-52,549;4712
-32,9005;-53,349;4781
-32,9005;-53,249;4818
-32,9005;-53,149;4771
-32,9005;-53,049;4743
-32,9005;-52,949;4758
-32,9005;-52,849;4791
-32,9005;-52,749;4763
-32,9005;-52,649;4717
